ANO,REGIAO,UF,MUNICIPIO,AREA,DEPENDENCIA_ADM,LOCALIZACAO,NOTA_LP,NOTA_MT,SEXO,RACA_COR,IDADE,COMPUTADOR,MORA_MÃE,MORA_PAI,REUNIÕES_ESCOLARES,USO_TEMPO_TELAS,AFAZERES_DOM,BIBLIOTECA
2017,1,15,1505551,2,3,1,231.257599,161.03516,A, ,E,A,A,A,A,A,A,C
2017,5,52,5211503,2,3,1,306.133391,232.221417,B,A,D,B,A,C,A,D,E,C
2017,3,31,3106705,2,3,1,172.585922,162.790682,B,F,C,A,A,B,B,B,C,A
2017,5,50,5002704,1,3,1,210.479688,178.937864,B,C,G,C,A, ,C,E,A,C
2017,2,28,2802908,2,3,2,210.933547,186.191403,A,D, ,A,A,B,A,A,A,C
2017,3,35,3549904,2,3,1,205.427517,226.467749,B,C,C,C,A,B,B,D,A,C
2017,2,23,2302800,2,3,2,184.402898,195.721044,A,C,E,A,A, ,C, ,A,B
2017,5,51,5107958,2,3,1,245.397696,175.501827,B,A,C,B,A,A,A,B,A,B
2017,3,31,3162807,2,3,1,238.766053,258.346162,A,A,D,B,A,A,A,D,A,B
2017,4,41,4106902,1,3,1,264.521594,306.361193,B,A,D,B,A,A,C,C,A,C
2017,3,35,3516200,2,3,1,283.853194,298.159721,B,B,D,A,A,B,B,D,B,C
2017,3,35,3513009,2,3,1,220.67747,199.758539,B,C,D,A,A,B,A,E,A,B
2017,2,21,2105005,2,3,1,172.49882,204.491221,A,C,E,A,A,B,C,D,D,B
2017,3,35,3545803,2,3,1,178.046446,266.247716,B,A,C,D,A,B,A,B,A,B
2017,2,26,2611606,1,3,1,260.008511,208.315933,B,C,D,B,A,C, ,D,A,B
2017,3,35,3554003,2,3,1,190.798631,240.367277,A,C,D,A,A,C,B,B,B,B
2017,3,35,3550308,1,2,1,189.423446,194.131243,A,C,D,B,A,A,A,B,C,C
2017,1,15,1506500,2,3,2,215.703365,144.806655,B,F,D,A,B,A, , , ,B
2017,4,41,4109401,2,3,1,164.837812,202.049453,B,C,D,C,A,A,A,D,E,B
2017,4,43,4308003,2,2,1,223.666174,252.596742,B,A,C,B,A,A,A,B,D,C
2017,2,27,2704302,1,2,1,274.524621,283.00949,A,C,C,A,A,A,B,A,E,B
2017,4,41,4109401,2,3,1,194.015918,239.643751,A,C,C,B,A,A,A,B,B,B
2017,4,42,4208203,2,3,1,157.6343,219.251323,A,A,C,B,B,A,B,A, ,A
2017,4,43,4300604,2,3,1,193.895539,193.726639,B,B,D,A,A,C,A,E,B,A
2017,2,29,2911709,2,3,1,146.719533,156.816351,B,B,E,B,B,A,C,B,A,C
2017,2,25,2507507,1,2,1,201.693013,276.57606,A,D,D,B,A,A,B,A,B,C
2017,1,15,1506203,2,3,1,171.091184,190.949908,A,F,D,A,A,A,A,A,C,C
2017,2,28,2800308,1,3,1,196.060433,209.514544,B,F,E,A,A,B,C,D,E,B
2017,4,41,4111803,2,3,1,189.431985,260.365217,B,A,C,B,A,A,B,A,A,C
2017,1,13,1303536,2,3,2,211.213973,204.475627,A,C,D,A,A,B,A,A,C,C
2017,1,15,1502301,2,3,2,169.874502,167.126474,B,F,D, ,A,A, , ,C,C
2017,2,23,2302909,2,3,1,176.178175,190.21783,B,A,D,A, , ,B,D,A,B
2017,3,31,3165107,2,3,1,156.910153,189.122117,A,C,D,A,A,A,A,B,E,A
2017,1,15,1501303,2,3,1,212.090453,192.531437,A,B,D,A,A,B,C,D,A,C
2017,2,23,2304400,1,3,1,129.772099,167.477757,A,F,D,B,A,A,B,B,D,B
2017,5,52,5201405,2,3,1,299.596563,227.205808,B,B,D,A,A,A,C,B,A,C
2017,2,23,2304400,1,3,1,240.351089,261.466407,A,A,D,A,A,C,A,A,A,A
2017,3,35,3525904,2,3,1,213.038004,270.023299,A,B,C,B,A,A,A,D,E,A
2017,4,43,4313300,2,3,1,197.940384,206.398324,B,A,D,B, ,A,C,D,A,A
2017,3,35,3536703,2,3,1,187.939506,206.939585,A,B,D,B,A,A,A,D,A,A
2017,2,21,2111300,1,3,1,159.842111,157.788207,A,C,C,B,A,A,A,A,A,A
2017,5,51,5105622,2,2,1,217.164662,234.155627,B,C,C,B,A,A,C,D,E,B
2017,2,25,2514206,2,3,1,238.59339,291.115666,A,A,D,B,A,A,C,B,A,B
2017,3,35,3503406,2,3,1,270.953028,232.199675,B,C,C,B,A,A,A,A,B,A
2017,3,35,3507506,2,3,1,257.367335,237.732792,B,C,D,C,C,C,C,D,A,A
2017,2,24,2411809,2,3,1,185.402567,244.046445,A,A,D,A,A,A,A,E,E,A
2017,3,35,3550308,1,2,1,273.245298,291.433191,B,C,D,B,A,B,B,C,E,B
2017,2,21,2100956,2,3,1,168.743656,188.36567,B,C,D,B,A,A,C,B,D,C
2017,3,35,3529401,2,2,1,300.809388,262.205136,A,C,D,B,A,A,A,B,E,B
2017,2,21,2108009,2,3,1,148.771431,175.649327,A,A,C,A,A,A,A,A,E,C
2017,3,33,3300159,2,3,1,275.892479,252.855523,A,C,C,B,C,A,B,D,A,B
2017,5,53,5300108,1,2,1,228.48745,287.858206,A,A,C,B,A,A,A,E,A,C
2017,3,35,3505708,2,3,1,231.01618,223.679672,A,C,C,B,A,A,A,A,A,B
2017,1,13,1302504,2,3,2,129.603403,139.275494,A,B,E,A,A,B,B,B,B,A
2017,2,26,2604106,2,3,2,203.328459,194.729738,B,F,C,A,A,A,A,D,E,A
2017,1,15,1503705,2,3,1,200.452861,157.665076,B,C,D,A,A,B,A,B,D,C
2017,1,17,1710706,2,3,1,205.138332,230.995755,A,C,D,A,A,A,A,A,A,A
2017,2,26,2616506,2,3,2,212.125823,245.31263,A,C,D,A,A,B,B,A,B,C
2017,5,52,5213103,2,3,1,289.602517,267.509709,B,A,D,B,A,A,A,B,A,B
2017,2,24,2408102,1,3,1,241.680823,213.182981,B,A,D,B,A,B,A,A,A,A
2017,2,23,2308906,2,3,1,172.040939,160.281117,A,C,C,B,A,A,C,B,B,A
2017,3,33,3302700,2,3,1,186.877802,268.815801,A,A,D,A,A,B,B,D,A,A
2017,2,22,2204501,2,3,1,149.958858,145.183872,A, ,F, , ,A, , ,B,C
2017,2,24,2408003,2,3,2,212.945447,198.830838,B,C,C,B,A,A,B,D,A,B
2017,2,23,2314102,2,3,2,170.553418,227.71834,A,A,F,A,A,B,A,E,A,A
2017,2,21,2112233,2,3,1,298.498718,200.505148,B,C,C,B,A,A,A,A,A,C
2017,5,50,5000856,2,3,1,184.861715,179.320894,A,A,F,B,A,C,A,D,A,B
2017,3,35,3550308,1,2,1,171.350564,280.7724,A,A,C,A,A,B,A,D,E,B
2017,3,32,3205200,2,3,1,158.166777,170.95018,B,B,E,A,A,B,A,A,A,B
2017,2,28,2802304,2,2,1,192.372648,231.092057,A,D,D,A,A,A,B,E,E,B
2017,2,23,2310951,2,3,1,257.648532,223.91224,B,C,D,B,A,A,A,A,B,B
2017,2,29,2915205,2,3,2,202.50542,189.779522,A,B,G,A,B,A,A,B,E,C
2017,2,28,2800308,1,3,1,169.641953,238.567991,A,C,G,A,A,B, ,C,E,B
2017,3,31,3109303,2,3,1,247.70721,201.878367,B,F,C,B,A,B,C,D,B,B
2017,1,17,1703107,2,3,1,159.393817,174.63845800000001,A,A,E,A,A,A, ,C,A,B
2017,3,33,3304557,1,3,1,180.065232,180.795501,B,C,D,B,A,A,B,A,C,A
2017,3,31,3162955,2,3,1,221.710415,251.109727,A, , ,B,A,A,A,C,B,B
2017,2,21,2101608,2,3,1,157.061329,193.753243,B,C,D,A,A,B,A,A,D,A
2017,2,29,2919157,2,3,1,123.388266,193.496474,A,C,D,A,A,B,A,B,B,A
2017,2,29,2928901,2,3,2,220.71014,208.696337,B,C,D,B,A,A,A,C,A,A
2017,3,31,3146503,2,3,1,228.838945,267.203811,B,C,D,A,A,A,A,C,A,A
2017,3,35,3550308,1,3,1,190.855377,212.483992,B,C,D,A,A,A,B,B,A,B
2017,3,35,3510609,2,2,1,201.243947,203.276513,A,B,D,B,A,A,A,B,B,A
2017,3,33,3304557,1,3,1,156.776276,162.958415,A,B,D,B,A,B,B,C,D,A
